SUBSITE,TRTMT,PLOT,SPP,YEAR,Abundance
CASSIOPE,CTL,Cas.c.c.10new,XXXLICHEN,2000,13
CASSIOPE,CTL,Cas.c.c.10new,XXXLICHEN,2007,5
CASSIOPE,CTL,Cas.c.c.10new,XXXLICHEN,2016,2
CASSIOPE,CTL,Cas.c.c.10new,XXXLICHEN,2019,3
CASSIOPE,CTL,Cas.c.c.10new,XXXLITTER,1995,42
CASSIOPE,CTL,Cas.c.c.10new,XXXLITTER,2000,41
CASSIOPE,CTL,Cas.c.c.10new,XXXLITTER,2007,40
CASSIOPE,CTL,Cas.c.c.10new,XXXLITTER,2016,168
CASSIOPE,CTL,Cas.c.c.10new,XXXLITTER,2019,117
CASSIOPE,CTL,Cas.c.c.10new,XXXMOSS,1995,25
CASSIOPE,CTL,Cas.c.c.10new,XXXMOSS,2000,35
CASSIOPE,CTL,Cas.c.c.10new,XXXMOSS,2007,49
CASSIOPE,CTL,Cas.c.c.10new,XXXMOSS,2016,49
CASSIOPE,CTL,Cas.c.c.10new,XXXMOSS,2019,24
CASSIOPE,CTL,Cas.c.c.11new,ARCLAT,2000,1
CASSIOPE,CTL,Cas.c.c.11new,ARCLAT,2007,3
CASSIOPE,CTL,Cas.c.c.11new,ARCLAT,2019,2
CASSIOPE,CTL,Cas.c.c.11new,CASTET,1995,14
CASSIOPE,CTL,Cas.c.c.11new,CASTET,2000,14
CASSIOPE,CTL,Cas.c.c.11new,CASTET,2016,1
CASSIOPE,CTL,Cas.c.c.11new,CASTET,2019,4
CASSIOPE,CTL,Cas.c.c.11new,DRYINT,1995,21
CASSIOPE,CTL,Cas.c.c.11new,DRYINT,2000,21
CASSIOPE,CTL,Cas.c.c.11new,DRYINT,2007,34
CASSIOPE,CTL,Cas.c.c.11new,DRYINT,2016,24
CASSIOPE,CTL,Cas.c.c.11new,DRYINT,2019,19
CASSIOPE,CTL,Cas.c.c.11new,ERIANG,1995,1
CASSIOPE,CTL,Cas.c.c.11new,ERIANG,2000,4
CASSIOPE,CTL,Cas.c.c.11new,ERIANG,2007,4
CASSIOPE,CTL,Cas.c.c.11new,ERIANG,2016,11
CASSIOPE,CTL,Cas.c.c.11new,ERIANG,2019,10
CASSIOPE,CTL,Cas.c.c.11new,LUZARC,1995,2
CASSIOPE,CTL,Cas.c.c.11new,LUZARC,2000,3
CASSIOPE,CTL,Cas.c.c.11new,LUZARC,2007,1
CASSIOPE,CTL,Cas.c.c.11new,LUZARC,2019,4
CASSIOPE,CTL,Cas.c.c.11new,OXYDIG,2019,1
CASSIOPE,CTL,Cas.c.c.11new,PAPRAD,1995,1
CASSIOPE,CTL,Cas.c.c.11new,PAPRAD,2000,2
CASSIOPE,CTL,Cas.c.c.11new,PAPRAD,2019,2
CASSIOPE,CTL,Cas.c.c.11new,PEDHIR,2000,4
CASSIOPE,CTL,Cas.c.c.11new,PEDHIR,2007,3
CASSIOPE,CTL,Cas.c.c.11new,PEDHIR,2019,2
CASSIOPE,CTL,Cas.c.c.11new,POAARC,1995,1
CASSIOPE,CTL,Cas.c.c.11new,POAARC,2019,1
CASSIOPE,CTL,Cas.c.c.11new,SALARC,1995,7
CASSIOPE,CTL,Cas.c.c.11new,SALARC,2000,12
CASSIOPE,CTL,Cas.c.c.11new,SALARC,2007,8
CASSIOPE,CTL,Cas.c.c.11new,SALARC,2016,13
CASSIOPE,CTL,Cas.c.c.11new,SALARC,2019,7
CASSIOPE,CTL,Cas.c.c.11new,XXXBLACKALGAE,1995,6
CASSIOPE,CTL,Cas.c.c.11new,XXXBLACKALGAE,2016,25
CASSIOPE,CTL,Cas.c.c.11new,XXXBLACKALGAE,2019,7
CASSIOPE,CTL,Cas.c.c.11new,XXXLICHEN,1995,10
CASSIOPE,CTL,Cas.c.c.11new,XXXLICHEN,2000,4
CASSIOPE,CTL,Cas.c.c.11new,XXXLICHEN,2007,17
CASSIOPE,CTL,Cas.c.c.11new,XXXLICHEN,2016,2
CASSIOPE,CTL,Cas.c.c.11new,XXXLICHEN,2019,10
CASSIOPE,CTL,Cas.c.c.11new,XXXLITTER,1995,61
CASSIOPE,CTL,Cas.c.c.11new,XXXLITTER,2000,95
CASSIOPE,CTL,Cas.c.c.11new,XXXLITTER,2007,22
CASSIOPE,CTL,Cas.c.c.11new,XXXLITTER,2016,91
CASSIOPE,CTL,Cas.c.c.11new,XXXLITTER,2019,100
CASSIOPE,CTL,Cas.c.c.11new,XXXMOSS,1995,14
CASSIOPE,CTL,Cas.c.c.11new,XXXMOSS,2000,22
CASSIOPE,CTL,Cas.c.c.11new,XXXMOSS,2007,29
CASSIOPE,CTL,Cas.c.c.11new,XXXMOSS,2016,39
CASSIOPE,CTL,Cas.c.c.11new,XXXMOSS,2019,21
CASSIOPE,CTL,Cas.c.c.11new,XXXUNK,2000,1
CASSIOPE,CTL,Cas.c.c.12,ARCLAT,2000,4
CASSIOPE,CTL,Cas.c.c.12,ARCLAT,2016,1
CASSIOPE,CTL,Cas.c.c.12,ARCLAT,2019,6
CASSIOPE,CTL,Cas.c.c.12,CASTET,2000,17
CASSIOPE,CTL,Cas.c.c.12,CASTET,2007,21
CASSIOPE,CTL,Cas.c.c.12,CASTET,2016,11
CASSIOPE,CTL,Cas.c.c.12,CASTET,2019,6
CASSIOPE,CTL,Cas.c.c.12,DRYINT,2000,32
CASSIOPE,CTL,Cas.c.c.12,DRYINT,2007,12
CASSIOPE,CTL,Cas.c.c.12,DRYINT,2016,11
CASSIOPE,CTL,Cas.c.c.12,DRYINT,2019,18
CASSIOPE,CTL,Cas.c.c.12,ERIANG,2000,3
CASSIOPE,CTL,Cas.c.c.12,ERIANG,2007,5
CASSIOPE,CTL,Cas.c.c.12,ERIANG,2016,5
CASSIOPE,CTL,Cas.c.c.12,ERIANG,2019,12
CASSIOPE,CTL,Cas.c.c.12,LUZARC,2000,3
CASSIOPE,CTL,Cas.c.c.12,LUZARC,2016,1
CASSIOPE,CTL,Cas.c.c.12,OXYDIG,2000,1
CASSIOPE,CTL,Cas.c.c.12,OXYDIG,2016,2
CASSIOPE,CTL,Cas.c.c.12,OXYDIG,2019,4
CASSIOPE,CTL,Cas.c.c.12,PAPRAD,2016,1
CASSIOPE,CTL,Cas.c.c.12,PAPRAD,2019,1
CASSIOPE,CTL,Cas.c.c.12,POLVIV,2019,3
CASSIOPE,CTL,Cas.c.c.12,SALARC,2000,2
CASSIOPE,CTL,Cas.c.c.12,SALARC,2007,3
CASSIOPE,CTL,Cas.c.c.12,SALARC,2016,8
CASSIOPE,CTL,Cas.c.c.12,SALARC,2019,12
CASSIOPE,CTL,Cas.c.c.12,XXXBLACKALGAE,2016,28
CASSIOPE,CTL,Cas.c.c.12,XXXBLACKALGAE,2019,7
CASSIOPE,CTL,Cas.c.c.12,XXXLICHEN,2000,9
CASSIOPE,CTL,Cas.c.c.12,XXXLICHEN,2007,13
CASSIOPE,CTL,Cas.c.c.12,XXXLICHEN,2016,1
CASSIOPE,CTL,Cas.c.c.12,XXXLICHEN,2019,4
CASSIOPE,CTL,Cas.c.c.12,XXXLITTER,2000,72
CASSIOPE,CTL,Cas.c.c.12,XXXLITTER,2007,13
CASSIOPE,CTL,Cas.c.c.12,XXXLITTER,2016,138
CASSIOPE,CTL,Cas.c.c.12,XXXLITTER,2019,115
CASSIOPE,CTL,Cas.c.c.12,XXXMOSS,2000,25
CASSIOPE,CTL,Cas.c.c.12,XXXMOSS,2007,38
CASSIOPE,CTL,Cas.c.c.12,XXXMOSS,2016,41
CASSIOPE,CTL,Cas.c.c.12,XXXMOSS,2019,24
CASSIOPE,CTL,Cas.c.c.12new,ARCLAT,1995,2
CASSIOPE,CTL,Cas.c.c.12new,ARCLAT,2000,5
CASSIOPE,CTL,Cas.c.c.12new,ARCLAT,2016,2
CASSIOPE,CTL,Cas.c.c.12new,ARCLAT,2019,7
CASSIOPE,CTL,Cas.c.c.12new,CARMIS,1995,7
CASSIOPE,CTL,Cas.c.c.12new,CARMIS,2000,6
CASSIOPE,CTL,Cas.c.c.12new,CARMIS,2007,11
CASSIOPE,CTL,Cas.c.c.12new,CARMIS,2016,7
CASSIOPE,CTL,Cas.c.c.12new,CARMIS,2019,5
CASSIOPE,CTL,Cas.c.c.12new,CASTET,1995,14
CASSIOPE,CTL,Cas.c.c.12new,CASTET,2000,10
CASSIOPE,CTL,Cas.c.c.12new,CASTET,2007,3
CASSIOPE,CTL,Cas.c.c.12new,CASTET,2016,3
CASSIOPE,CTL,Cas.c.c.12new,CASTET,2019,5
CASSIOPE,CTL,Cas.c.c.12new,DRYINT,1995,9
CASSIOPE,CTL,Cas.c.c.12new,DRYINT,2000,11
CASSIOPE,CTL,Cas.c.c.12new,DRYINT,2007,7
CASSIOPE,CTL,Cas.c.c.12new,DRYINT,2016,8
CASSIOPE,CTL,Cas.c.c.12new,DRYINT,2019,15
CASSIOPE,CTL,Cas.c.c.12new,ERIANG,2016,1
CASSIOPE,CTL,Cas.c.c.12new,LUZARC,1995,7
CASSIOPE,CTL,Cas.c.c.12new,LUZARC,2000,2
CASSIOPE,CTL,Cas.c.c.12new,LUZARC,2016,2
CASSIOPE,CTL,Cas.c.c.12new,LUZARC,2019,1
CASSIOPE,CTL,Cas.c.c.12new,OXYDIG,1995,6
CASSIOPE,CTL,Cas.c.c.12new,OXYDIG,2000,3
CASSIOPE,CTL,Cas.c.c.12new,OXYDIG,2007,1
CASSIOPE,CTL,Cas.c.c.12new,OXYDIG,2016,3
CASSIOPE,CTL,Cas.c.c.12new,OXYDIG,2019,5
CASSIOPE,CTL,Cas.c.c.12new,PAPRAD,1995,1
CASSIOPE,CTL,Cas.c.c.12new,SALARC,1995,13
CASSIOPE,CTL,Cas.c.c.12new,SALARC,2000,7
